Species	M00003;M00020;M00025;M00037;M00040;M00052;M00079;M00081;M00117;M00120;M00344;M00549;M00550;M00790;M00823;M00842;M00843;M00855;M00892;M00921	EventOccured	phylum
node727_	7.0;1.0;0.0;0.0;0.0;1.5;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0	0	p__Thermoproteota
node801_	6.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0	0	p__Thermoproteota
node741_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0	0	p__Thermoproteota
node735_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0	0	p__Thermoproteota
node725_	7.0;1.0;0.0;0.0;0.0;1.5;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0	0	p__Thermoproteota
node785_	7.0;2.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;2.0;0.5	0	p__Thermoproteota
node726_	7.0;1.0;0.0;0.0;0.0;1.5;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0	0	p__Thermoproteota
node678_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.5;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0	0	p__Thermoproteota
node882_	7.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.5	0	p__Thermoproteota
node850_	7.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;1.0	0	p__Thermoproteota
node825_	7.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;1.0	0	p__Thermoproteota
