Species	md:M00543;path:map00073;path:map00440;path:map00563;path:map00984	EventOccured
untitled_17817	0.0;0.0;0.0;0.0;0.0	0
untitled_17817	0.0;0.0;0.0;0.0;0.0	0
untitled_17815	0.0;0.0;0.0;0.0;0.0	0
untitled_17815	0.0;0.0;0.0;0.0;0.0	0
untitled_17813	0.0;0.0;1.0;0.0;0.0	0
untitled_17813	0.0;0.0;1.0;0.0;0.0	0
Ehrlichia	0.0;0.0;1.0;0.0;0.0	0
Ehrlichia	0.0;0.0;1.0;0.0;0.0	0
untitled_17810	0.0;0.0;1.0;0.0;0.0	0
untitled_17810	0.0;0.0;1.0;0.0;0.0	0
untitled_17808	0.0;0.0;1.0;0.0;0.0	0
untitled_17808	0.0;0.0;1.0;0.0;0.0	0
untitled_17807	0.0;0.0;1.0;0.0;0.0	0
untitled_17807	0.0;0.0;1.0;0.0;0.0	0
Anaplasma	0.0;0.0;1.0;0.0;0.0	0
Anaplasma	0.0;0.0;1.0;0.0;0.0	0
untitled_17812	0.0;0.0;1.0;0.0;0.0	0
untitled_17812	0.0;0.0;1.0;0.0;0.0	0
Rickettsiaceae	0.0;0.0;1.0;0.0;0.0	0
Rickettsiaceae	0.0;0.0;1.0;0.0;0.0	0
untitled_17846	0.0;0.0;1.0;0.0;0.0	0
untitled_17846	0.0;0.0;1.0;0.0;0.0	0
Rickettsia	0.0;0.0;1.0;0.0;0.0	0
Rickettsia	0.0;0.0;1.0;0.0;0.0	0
untitled_17841	0.0;0.0;1.0;0.0;0.0	0
untitled_17841	0.0;0.0;1.0;0.0;0.0	0
untitled_17840	0.0;0.0;1.0;0.0;0.0	0
untitled_17840	0.0;0.0;1.0;0.0;0.0	0
untitled_17839	0.0;0.0;1.0;0.0;0.0	0
untitled_17839	0.0;0.0;1.0;0.0;0.0	0
untitled_17838	0.0;0.0;1.0;0.0;0.0	0
untitled_17838	0.0;0.0;1.0;0.0;0.0	0
untitled_17837	0.0;0.0;1.0;0.0;0.0	0
untitled_17837	0.0;0.0;1.0;0.0;0.0	0
untitled_17830	0.0;0.0;1.0;0.0;0.0	0
untitled_17830	0.0;0.0;1.0;0.0;0.0	0
untitled_17836	0.0;0.0;1.0;0.0;0.0	0
untitled_17836	0.0;0.0;1.0;0.0;0.0	0
untitled_17835	0.0;0.0;1.0;0.0;0.0	0
untitled_17835	0.0;0.0;1.0;0.0;0.0	0
untitled_17806	0.0;0.0;1.0;0.0;0.0	0
untitled_17806	0.0;0.0;1.0;0.0;0.0	0
untitled_17793	0.0;0.0;1.0;0.0;0.0	0
untitled_17793	0.0;0.0;1.0;0.0;0.0	0
Pelagibacteraceae	0.0;0.0;1.0;0.0;0.0	0
Pelagibacteraceae	0.0;0.0;1.0;0.0;0.0	0
untitled_17701	0.0;0.0;1.0;0.0;0.0	0
untitled_17701	0.0;0.0;1.0;0.0;0.0	0
untitled_17659	0.0;0.0;1.0;0.0;0.0	0
untitled_17659	0.0;0.0;1.0;0.0;0.0	0
untitled_17631	0.0;0.0;1.0;0.0;0.0	0
untitled_17631	0.0;0.0;1.0;0.0;0.0	0
untitled_17624	0.0;0.0;1.0;0.0;0.0	0
untitled_17624	0.0;0.0;1.0;0.0;0.0	0
untitled_17619	0.0;0.0;1.0;0.0;0.0	0
untitled_17619	0.0;0.0;1.0;0.0;0.0	0
untitled_17598	0.0;0.0;6.0;0.0;0.0	0
untitled_17598	0.0;0.0;6.0;0.0;0.0	0
untitled_17597	0.0;0.0;6.0;0.0;0.0	0
untitled_17597	0.0;0.0;6.0;0.0;0.0	0
untitled_17593	0.0;0.0;4.0;0.0;0.0	0
untitled_17593	0.0;0.0;4.0;0.0;0.0	0
untitled_17590	0.0;0.0;4.0;0.0;0.0	0
untitled_17590	0.0;0.0;4.0;0.0;0.0	0
untitled_17585	0.0;0.0;6.0;0.0;0.0	0
untitled_17585	0.0;0.0;6.0;0.0;0.0	0
untitled_17578	0.0;0.0;3.0;0.0;1.0	0
untitled_17578	0.0;0.0;3.0;0.0;1.0	0
untitled_17577	0.0;0.0;3.0;0.0;1.0	0
untitled_17577	0.0;0.0;3.0;0.0;1.0	0
untitled_17574	0.0;0.0;6.0;0.0;0.0	0
untitled_17574	0.0;0.0;6.0;0.0;0.0	0
Rhodospirillales_A	0.0;0.0;6.0;0.0;0.0	0
Rhodospirillales_A	0.0;0.0;6.0;0.0;0.0	0
Thalassospiraceae	0.0;0.0;5.0;0.0;4.0	0
Thalassospiraceae	0.0;0.0;5.0;0.0;4.0	0
untitled_17535	0.0;0.0;6.0;0.0;0.0	0
untitled_17535	0.0;0.0;6.0;0.0;0.0	0
untitled_17506	0.0;0.0;6.0;0.0;0.0	0
untitled_17506	0.0;0.0;6.0;0.0;0.0	0
untitled_17423	0.0;0.0;6.0;0.0;0.0	0
untitled_17423	0.0;0.0;6.0;0.0;0.0	0
untitled_17409	0.0;0.0;10.0;0.0;0.0	0
untitled_17409	0.0;0.0;10.0;0.0;0.0	0
